nombre_tema;desc_tema;nombre_subtema;desc_subtema;nombre_categoria;desc_catategoria;nombre_tabla
 ECONOMÍA;Inlcuye estadísticas sobre economía, finanzas, precios, sectores productivos y panorama internacional.;PRINCIPALES INDICADORES MACROECONÓMICOS;Estadísticas sobre las cuentas nacionales y PBI.;CUENTAS NACIONALES TRIMESTRALES;Indicadores de corto plazo del PBI, oferta y demanda global a precios constantes y corrientes.;Oferta y Demanda Global Trimestral 2007–2025-III (Valores a precios constantes de 2007)
 ECONOMÍA;Inlcuye estadísticas sobre economía, finanzas, precios, sectores productivos y panorama internacional.;PRINCIPALES INDICADORES MACROECONÓMICOS;Estadísticas sobre las cuentas nacionales y PBI.;CUENTAS NACIONALES TRIMESTRALES;Indicadores de corto plazo del PBI, oferta y demanda global a precios constantes y corrientes.;Oferta y Demanda Global Trimestral 2007–2025-III (Valores a precios corrientes)
 ECONOMÍA;Inlcuye estadísticas sobre economía, finanzas, precios, sectores productivos y panorama internacional.;PRINCIPALES INDICADORES MACROECONÓMICOS;Estadísticas sobre las cuentas nacionales y PBI.;PBI DE LAS ACTIVIDADES ECONÓMICAS, POR AÑOS;Evolución del valor agregado por sectores como agricultura, minería, manufactura y servicios.;PERÚ: Producto Bruto Interno por Años, según Departamentos 2007 - 2023
 ECONOMÍA;Inlcuye estadísticas sobre economía, finanzas, precios, sectores productivos y panorama internacional.;PRINCIPALES INDICADORES MACROECONÓMICOS;Estadísticas sobre las cuentas nacionales y PBI.;PBI DE LAS ACTIVIDADES ECONÓMICAS, POR AÑOS;Evolución del valor agregado por sectores como agricultura, minería, manufactura y servicios.;Agricultura, ganadería, caza y silvicultura 2007 - 2023
 ECONOMÍA;Inlcuye estadísticas sobre economía, finanzas, precios, sectores productivos y panorama internacional.;ESTADÍSTICAS SECTORIALES;Estadísticas sobre cada sector económico productivo.;HIDROCARBUROS;Producción de petróleo y gas natural, reservas y derivados energéticos.;Producción de petróleo crudo, según empresa y lote
 ECONOMÍA;Inlcuye estadísticas sobre economía, finanzas, precios, sectores productivos y panorama internacional.;ESTADÍSTICAS SECTORIALES;Estadísticas sobre cada sector económico productivo.;HIDROCARBUROS;Producción de petróleo y gas natural, reservas y derivados energéticos.;Producción de líquidos de gas natural, según empresa y lote
 SOCIALES;Incluye estadísticas sobre pobreza, salud y educación.;SALUD;Infraestructura, recursos humanos, morbilidad y acceso a seguros de salud.; RECURSOS HUMANOS DE SALUD;Médicos y enfermeras colegiados y tasa de profesionales por habitante.;NÚMERO DE HABITANTES POR CADA MÉDICO, SEGÚN DEPARTAMENTO, 2015-2023
 SOCIALES;Incluye estadísticas sobre pobreza, salud y educación.;SALUD;Infraestructura, recursos humanos, morbilidad y acceso a seguros de salud.; RECURSOS HUMANOS DE SALUD;Médicos y enfermeras colegiados y tasa de profesionales por habitante.;NÚMERO DE ENFERMERAS /OS COLEGIADAS/DOS, SEGÚN DEPARTAMENTO, 2013-2023
 INDICADORES DE GÉNERO;Incluye estadísticas sobre la autonomía de la mujer, brechas, violencia de género y equidad de género.;UNA MIRADA A LA AUTONOMÍA DE LAS MUJERES PERUANAS;Dimensiones física, económica y toma de decisiones de las mujeres peruanas.;AUTONOMÍA FÍSICA;Indicadores de feminicidio, trata de personas y salud reproductiva/materna.;VÍCTIMAS DE FEMINICIDIO, SEGÚN FORMA O MEDIO UTILIZADO
 INDICADORES DE GÉNERO;Incluye estadísticas sobre la autonomía de la mujer, brechas, violencia de género y equidad de género.;UNA MIRADA A LA AUTONOMÍA DE LAS MUJERES PERUANAS;Dimensiones física, económica y toma de decisiones de las mujeres peruanas.;AUTONOMÍA FÍSICA;Indicadores de feminicidio, trata de personas y salud reproductiva/materna.;VÍCTIMAS DE FEMINICIDIO, SEGÚN LUGAR DE OCURRENCIA
